Elżbieta Podsiadła
Edmund Rezmer
Jan Kawiak
Oskar Koszela
Janina Wielogórska
Rozalia Stelmaszczyk
Pelagia Sokal
Nina Tkaczuk
Franciszka Lupa
Pelagia Brańka
Laura Nabiałek
Marlena Koss
Janusz Lehmann
Eliza Strzelczak
Anastazja Zieja
Julian Dziubiński
Remigiusz Żabiński
Gerard Bednarczyk
Leokadia Yeremenko
Mariusz Bzowski
Daria Działo
Wacław Wąsik
Lucjan Kuśmierczyk
Róża Kotlicka
Ireneusz Fuchs
Emil Stachowicz
Ewa Mania
Dorota Hrytsiuk
Marta Chmielarska
Bronisław Nierzwicki
Ernest Żmudzki
Daniel Mikołajczuk
Pelagia Witkowska
Sylwester Lorens
Czesław Kowalik
Remigiusz Kożuchowski
Kamil Waszkowiak
Lucyna Kotecka
Sylwester Owczarczyk
Sylwester Kędziora
Mieczysław Bek
Lucyna Stadnyk
Romuald Jaśko
Mariia Matraszek
Patryk Witan
Justyna Steuer
Lena Płochocka
Leszek Dutkiewicz
Daniela Witucka
Juliusz Makaru
